Title,Author,Genre,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Date Read,Date Added,Exclusive Shelf
The Genome Odyssey: Medical Mysteries and the Incredible Quest to Solve Them,Euan Angus Ashley,Science,9781250234995,0,4.23,Celadon Books,Hardcover,400.0,,2023/05/01,to-read
"Before Your Memory Fades (Before the Coffee Gets Cold, #3)",Toshikazu Kawaguchi,Contemporary Fiction,9780369722690,3,3.91,Hanover Square Press,ebook,220.0,,2023/04/30,read
"Kingdom of the Cursed (Kingdom of the Wicked, #2)",Kerri Maniscalco,Fantasy,9781529350500,4,4.19,Hodder & Stoughton,Hardcover,437.0,,2023/02/06,read
"Tales from the Café (Before the Coffee Gets Cold, #2)",Toshikazu Kawaguchi,Contemporary Fiction,9781529050868,4,4.0,Picador,Paperback,192.0,,2023/04/18,read
Gene Eating: The Story of Human Appetite,Giles Yeo,Science,9781841882932,0,4.53,Orion Spring,Paperback,,,2023/04/17,to-read
Flow: The Psychology of Optimal Experience,Mihaly Csikszentmihalyi,Psycology,9780060920432,0,4.1,Harper Perennial,Paperback,303.0,,2023/04/10,to-read
"Brilliant, Brilliant, Brilliant Brilliant Brilliant",Joel Golby,Social Science,9780525562771,3,3.57,Anchor Books,Paperback,304.0,,2022/09/08,read
Creativity: Flow and the Psychology of Discovery and Invention,Mihaly Csikszentmihalyi,Psycology,9780062283252,0,04.07,HarperCollins e-books,Kindle Edition,466.0,,2023/04/09,to-read
The Naked Don't Fear the Water: An Underground Journey with Afghan Refugees,Matthieu Aikins,Fiction,9780063058583,0,4.18,Harper,Hardcover,336.0,,2023/04/09,to-read
Made To Stick: eSpresso Summary,eSpresso  Summaries,Business & Economics,9781400064281,0,4.0,Snap Know,Kindle Edition,23.0,,2023/04/09,to-read
The Intelligent Investor,Benjamin Graham,Business & Economics,9780060555665,0,4.25,Harper Business,Paperback,623.0,,2023/04/09,to-read
Me Talk Pretty One Day,David Sedaris,Essays,9780349113913,3,4.0,"Little, Brown and Company",Paperback,272.0,,2022/10/18,read
"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,Fiction,9781529029581,4,3.73,Picador,Paperback,213.0,,2022/10/30,read
Notes on an Execution,Danya Kukafka,Thriller,9780063052734,4,4.12,William Morrow,Hardcover,306.0,,2022/08/23,read
A Little Life,Hanya Yanagihara,Contemporary Fiction,9780804172707,0,4.34,Doubleday,Hardcover,720.0,,2023/03/25,to-read
To Paradise,Hanya Yanagihara,Contemporary Fiction,9780385547932,0,3.79,Doubleday,Hardcover,720.0,,2023/03/25,to-read
"The Wisteria Society of Lady Scoundrels (Dangerous Damsels, #1)",India Holton,Romance,9780593200162,4,3.72,Berkley,Paperback,324.0,,2023/03/09,read
Blood and Oil: Mohammed bin Salman's Ruthless Quest for Global Power,Bradley Hope,Politics,9780306846663,0,4.27,Hachette Books,Hardcover,368.0,,2023/03/06,to-read
Calling Bullshit: The Art of Skepticism in a Data-Driven World,Carl T. Bergstrom,Science,9780525509189,0,4.14,Random House,Hardcover,336.0,,2023/03/06,to-read
And Then There Were None,Agatha Christie,Classics,9780312330873,0,4.28,St. Martin's Griffin,Paperback,264.0,,2023/03/04,to-read
Predictably Irrational: The Hidden Forces That Shape Our Decisions,Dan Ariely,Psycology,9780061353246,4,4.12,HarperCollins Canada,Hardcover,247.0,,2022/10/08,read
These Impossible Things,Salma El-Wardany,Contemporary Fiction,9781538709306,0,4.24,Grand Central Publishing,Hardcover,400.0,,2023/03/01,to-read
The Seven Necessary Sins for Women and Girls,Mona Eltahawy,Social Science,9780807013816,4,4.23,Beacon Press,Hardcover,216.0,,2022/12/04,read
NSFW,Isabel Kaplan,Contemporary Fiction,9781250822895,0,3.52,Henry Holt and Co.,Hardcover,272.0,,2023/02/22,to-read
NW,Zadie Smith,Contemporary Fiction,9780241144145,0,3.48,Hamish Hamilton,Hardcover,296.0,,2023/02/21,to-read
Open Water,Caleb Azumah Nelson,Contemporary Fiction,9780241448779,4,4.1,VIKIN,Hardcover,145.0,,2022/10/30,read
Don't Cry for Me,Daniel     Black,Contemporary Fiction,9781335425737,0,4.35,Hanover Square Press,Hardcover,304.0,,2023/02/18,to-read
"Us Against You (Beartown, #2)",Fredrik Backman,Contemporary Fiction,9781501160790,4,4.36,Atria Books,Hardcover,448.0,,2023/02/15,read
"Beartown (Beartown, #1)",Fredrik Backman,Contemporary Fiction,9781982114350,5,4.29,Simon & Schuster,Kindle Edition,432.0,,2023/01/09,read
East of Eden,John Steinbeck,Classics,9780142000656,0,4.4,Penguin Books,Paperback,601.0,,2023/02/13,to-read
